mots,fréquence d'apparition depuis début 2023
ministre,160
énergie,158
nucléaire,140
france,129
électrique,95
projet,90
grand,81
milliard,81
solaire,76
climatique,74
entreprise,74
financer,68
allemand,63
vert,62
renouvelable,62
politique,62
nouveau,60
éolien,60
écologique,59
plan,59
besoin,59
fossile,59
métal,56
mondial,56
public,55
question,54
développement,54
prix,52
climat,52
production,52
central,51
allemagne,49
accélérer,49
économie,48
co2,48
français,47
monde,46
charbon,46
temps,46
électricité,44
pouvoir,43
québec,43
transitionenergetiqu,42
carbone,42
gouvernement,42
engager,41
lallemagn,41
matière,41
voir,41
prendre,41
investissement,40
pétrol,40
émission,40
durable,39
nécessaire,39
mettre,39
loi,39
réduire,39
solution,38
véhicule,38
savoir,37
passer,37
santé,37
européen,37
macron,37
secteur,36
économique,36
industrie,36
rdc,36
lénergie,35
continuer,35
agnesrunacher,35
important,34
produire,34
batterie,33
million,33
pannierrunacher,33
chose,33
venir,33
retraite,32
guerre,32
défi,32
président,32
compte,31
conférence,31
modèle,31
moyen,31
terme,31
soutenir,30
société,30
penser,30
total,30
financement,30
stratégique,30
dénergie,30
rapport,29
agnès,29
mal,29
social,29
devenir,29
afrique,29
voiture,29
fin,29
recherche,29
rôle,28
acteur,28
source,28
permettre,28
soutien,28
national,28
consommation,28
année,27
vrai,27
utiliser,27
donner,27
falloir,26
transport,26
objectif,26
réussir,26
devoir,26
critique,26
pétrolier,26
propre,26
proposer,25
groupe,25
enjeux,25
fort,25
lier,24
faire,24
maroc,24
industriel,24
minier,24
croissance,24
dire,23
réchauffemer,23
premier,23
energetiqu,23
réseau,23
investir,23
aller,23
deuro,23
problèm,23
euro,23
service,23
ministère,23
minerai,23
accord,23
assurer,23
lire,23
article,22
gagner,22
chin,22
futur,22
travail,22
ressource,22
demain,22
domaine,22
edf,22
trouver,22
biden,22
vouloir,22
souhaiter,22
emploi,22
lutte,21
stratégie,21
essentiel,21
faveur,21
impact,21
petit,21
arriver,21
comprendre,20
vent,20
participer,20
cas,20
lélectricité,20
lemondefreconomiearticle,20
payer,20
revenir,20
jeune,20
débat,20
cours,20
attendre,20
ville,20
vie,19
présenter,19
construire,19
partir,19
